CNo,,ON,OFF,MA,IP,SV,UP,DN,LN,LP,STEP,PL,V,HP,PP,C,S,L,AL,JS,JM,OC,LD,粗糙度Ra,余量Gap
C057,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C058,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C059,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C060,=,180,60,0,60,60,10,20,0,0,0,+,1,0,11,0,45,2,15,80,0,0,0,5.66,0.164
C061,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C062,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C063,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C064,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C065,=,195,65,0,65,60,10,20,0,0,0,+,1,0,11,0,45,2,15,80,0,0,0,6.35,0.175
C066,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C067,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C068,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C069,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C070,=,210,70,0,70,45,10,20,0,0,0,+,1,0,11,0,45,2,15,80,0,0,0,7.1,0.186
C071,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C072,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C073,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C074,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C075,=,225,75,0,75,45,10,20,0,0,0,+,1,0,11,0,45,2,15,80,0,0,0,7.79,0.197
C076,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C077,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C078,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C079,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,45,2,15,0,0,0,0,,
C080,=,240,80,0,80,45,10,20,0,0,0,+,1,0,11,0,45,2,15,80,0,0,0,8.7,0.208
C081,=,0,0,0,0,80,10,20,0,0,0,+,1,0,11,0,47,2,15,0,0,0,0,,
C082,=,0,0,0,0,80,10,20,0,0,0,+,1,0,11,0,47,2,15,0,0,0,0,,
C083,=,0,0,0,0,70,10,20,0,0,0,+,1,0,11,0,47,2,15,0,0,0,0,,
C084,=,0,0,0,0,70,10,20,0,0,0,+,1,0,11,0,47,2,15,0,0,0,0,,
C085,=,255,85,0,85,60,10,20,0,0,0,+,1,0,11,0,47,2,15,80,0,0,0,,
C086,=,270,90,0,90,60,10,20,0,0,0,+,1,0,11,0,47,2,15,80,0,0,0,,
C087,=,300,100,0,100,0,10,20,0,0,0,+,1,0,11,0,47,2,15,80,0,0,0,,
C088,=,360,120,0,120,0,10,20,0,0,0,+,1,0,11,0,47,2,15,80,0,0,0,,
C089,=,450,150,0,150,0,10,20,0,0,0,+,1,0,11,0,47,2,15,80,0,0,0,,
C090,=,540,180,0,180,0,10,20,0,0,0,+,1,0,11,0,47,2,15,80,0,0,0,10.5,0.23
C091,=,600,200,0,200,0,10,20,0,0,0,+,1,0,11,0,47,2,15,80,0,0,0,12.5,0.253
C092,=,690,230,0,230,45,10,20,0,0,0,+,1,0,11,0,47,2,15,80,0,0,0,25.9,0.371
C093,=,750,250,0,250,0,10,20,0,0,0,+,1,0,11,0,47,2,15,80,0,0,0,45.9,0.5
C094,=,900,300,0,300,45,10,20,0,0,0,+,1,0,11,0,47,2,15,80,0,0,0,73.7,0.638
C095,=,0,0,0,0,45,10,20,0,0,0,+,1,0,11,0,47,2,15,0,0,0,0,110.8,0.79
C096,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,47,2,15,0,0,0,0,,
C097,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,47,2,15,0,0,0,0,,
C098,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,47,2,15,0,0,0,0,,
C099,=,0,0,0,0,0,10,20,0,0,0,+,1,0,11,0,47,2,15,0,0,0,0,,
C100,=,60,20,1,10,70,10,20,301,0,0,+,1,40,10,0,3,1,15,3,2,0,0,,
C101,=,60,20,2,15,70,10,20,301,0,0,+,1,51,1,0,3,1,15,3,2,0,0,,
C102,=,60,20,1,10,60,10,20,301,0,0,+,1,51,11,0,3,1,15,3,2,0,0,,
C103,=,50,18,0,10,60,10,20,301,0,0,+,1,10,20,0,3,1,15,3,2,0,0,,
C104,=,40,20,0,10,70,10,20,301,0,0,+,1,10,20,0,3,1,15,3,2,0,0,,
C105,=,20,9,0,15,60,10,20,301,0,0,+,1,52,10,0,3,1,15,3,2,1000,0,,
C106,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C107,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C108,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C109,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C110,=,80,20,0,20,70,10,20,301,0,0,+,1,1,10,0,3,1,15,3,2,0,0,,
C111,=,80,20,2,25,70,10,20,301,0,0,+,1,51,1,0,3,1,15,3,2,0,0,,
C112,=,80,20,1,25,60,10,20,301,0,0,+,1,51,11,0,3,1,15,3,2,0,0,,
C113,=,80,30,0,20,45,10,20,301,0,0,+,1,10,20,0,3,1,15,3,2,0,0,,
C114,=,70,35,0,20,60,10,20,301,0,0,+,1,10,20,0,3,1,15,3,2,0,0,,
C115,=,50,20,0,25,60,10,20,301,0,0,+,1,10,20,0,3,1,15,3,2,0,0,,
C116,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C117,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C118,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C119,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C120,=,120,20,0,30,60,10,20,301,0,0,+,1,41,10,0,3,1,15,2,2,0,0,,
C121,=,120,20,2,35,70,10,20,301,0,0,+,1,51,1,0,3,1,15,3,2,0,0,,
C122,=,120,20,2,35,60,10,20,301,0,0,+,1,51,11,0,3,1,15,3,2,0,0,,
C123,=,100,35,0,30,45,10,20,301,0,0,+,1,10,20,0,3,1,15,3,2,0,0,,
C124,=,90,40,0,20,60,10,20,301,0,0,+,1,11,10,0,3,1,15,3,2,0,0,,
C125,=,70,25,0,25,60,10,20,301,0,0,+,1,11,10,0,3,1,15,3,2,0,0,,
C126,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C127,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C128,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C129,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C130,=,150,20,1,40,60,10,20,301,0,0,+,1,51,10,0,3,1,15,3,2,0,0,,
C131,=,150,20,2,45,70,10,20,301,0,0,+,1,51,1,0,3,1,15,3,2,0,0,,
C132,=,150,20,2,45,60,10,20,301,0,0,+,1,51,11,0,3,1,15,3,2,0,0,,
C133,=,120,40,0,40,45,10,20,301,0,0,+,1,11,10,0,3,1,15,3,2,0,0,,
C134,=,120,50,0,40,60,10,20,301,0,0,+,1,11,10,0,3,1,15,3,2,0,0,,
C135,=,90,35,0,45,60,10,20,301,0,0,+,1,11,10,0,3,1,15,3,2,0,0,,
C136,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C137,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C138,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
